,P(45%)_IPS(100%),P(45%)_IPS(25%),P(45%)_IPS(50%),P(45%)_IPS(75%),P(60%)_IPS(100%),P(60%)_IPS(25%),P(60%)_IPS(50%),P(60%)_IPS(75%),P(75%)_IPS(100%),P(75%)_IPS(25%),P(75%)_IPS(50%),P(75%)_IPS(75%),P(90%)_IPS(100%),P(90%)_IPS(25%),P(90%)_IPS(50%),P(90%)_IPS(75%)
P(45%)_IPS(100%),7.450580596923828e-09,0.5544875894914915,0.3092558268000564,0.1727196863659434,0.38830703716782006,0.5845087031611157,0.37917595253175335,0.3888101232835481,0.5270984936709872,0.6049657428616885,0.39992360603208177,0.5078141000650164,0.5729517098404425,0.6100340820329574,0.3887919893977159,0.5447532134446961
P(45%)_IPS(25%),0.5544875894914915,7.450580596923828e-09,0.2834553630616092,0.4099706464586424,0.7333971766669705,0.2333221265644884,0.49644035844704953,0.6481764604829214,0.8540636033699496,0.2760104994947366,0.6345835965210593,0.808889382844392,0.8962485321188273,0.264669714747743,0.6889631087647011,0.8662372108943619
P(45%)_IPS(50%),0.3092558268000564,0.2834553630616092,0.0,0.14921638482449248,0.5735525486729707,0.3700828108998477,0.3659880521945958,0.50308270807786,0.7237988993994097,0.41035023449163227,0.49325774352393303,0.6812951346559604,0.7744946103690129,0.41264354130958614,0.5332964418634698,0.7402791382629252
P(45%)_IPS(75%),0.1727196863659434,0.4099706464586424,0.14921638482449248,0.0,0.4875905322361574,0.4675545345887724,0.35311683734782096,0.4391823747815342,0.6418232913238754,0.5004027948263355,0.4455230793344589,0.6060498061209998,0.6929972423951802,0.5055688312226647,0.4689575960712765,0.6595229101855594
P(60%)_IPS(100%),0.38830703716782006,0.7333971766669705,0.5735525486729707,0.4875905322361574,0.0,0.6442719864402559,0.33598749761200025,0.14379038530350843,0.3831622746437148,0.6805227971568856,0.3558837939039596,0.36255745771477627,0.4532973213287817,0.6956822661548213,0.33920268483711136,0.41228270689203167
P(60%)_IPS(25%),0.5845087031611157,0.2333221265644884,0.3700828108998477,0.4675545345887724,0.6442719864402559,0.0,0.37180636480783363,0.5359700523945118,0.8180112896571928,0.2094654667024793,0.5693239595190046,0.7617682122667959,0.8761287786927301,0.2162714752824639,0.6378126741069969,0.8359037568347706
P(60%)_IPS(50%),0.37917595253175335,0.49644035844704953,0.3659880521945958,0.35311683734782096,0.33598749761200025,0.37180636480783363,7.450580596923828e-09,0.21545301378529239,0.608637237277765,0.44757183054659033,0.34992692814906046,0.5517105009835199,0.6866100076101322,0.4665268742594095,0.4050191610850463,0.6359924939541048
P(60%)_IPS(75%),0.3888101232835481,0.6481764604829214,0.50308270807786,0.4391823747815342,0.14379038530350843,0.5359700523945118,0.21545301378529239,0.0,0.48173387348177465,0.5911055892874323,0.3440052207847529,0.4367435894946292,0.5617778250546777,0.6102993455329562,0.36729483352415976,0.5120402219915899
P(75%)_IPS(100%),0.5270984936709872,0.8540636033699496,0.7237988993994097,0.6418232913238754,0.3831622746437148,0.8180112896571928,0.608637237277765,0.48173387348177465,7.450580596923828e-09,0.7659089152940448,0.37871437050712253,0.11616055737544906,0.25907877474736085,0.7908982950708227,0.3684162265781463,0.22642331132451304
P(75%)_IPS(25%),0.6049657428616885,0.2760104994947366,0.41035023449163227,0.5004027948263355,0.6805227971568856,0.2094654667024793,0.44757183054659033,0.5911055892874323,0.7659089152940448,0.0,0.5033163913364436,0.6984287160016618,0.8501154370975536,0.1331864271661032,0.5999532903234367,0.8008443380927801
P(75%)_IPS(50%),0.39992360603208177,0.6345835965210593,0.49325774352393303,0.4455230793344589,0.3558837939039596,0.5693239595190046,0.34992692814906046,0.3440052207847529,0.37871437050712253,0.5033163913364436,0.0,0.29154021352467485,0.5333481375819693,0.5442061724796377,0.23133886208891105,0.46127102716619645
P(75%)_IPS(75%),0.5078141000650164,0.808889382844392,0.6812951346559604,0.6060498061209998,0.36255745771477627,0.7617682122667959,0.5517105009835199,0.4367435894946292,0.11616055737544906,0.6984287160016618,0.29154021352467485,0.0,0.33915994115464787,0.731285193095766,0.32315588876829904,0.27560697680194596
P(90%)_IPS(100%),0.5729517098404425,0.8962485321188273,0.7744946103690129,0.6929972423951802,0.4532973213287817,0.8761287786927301,0.6866100076101322,0.5617778250546777,0.25907877474736085,0.8501154370975536,0.5333481375819693,0.33915994115464787,0.0,0.8363028542772627,0.4056939039850465,0.10711515296130698
P(90%)_IPS(25%),0.6100340820329574,0.264669714747743,0.41264354130958614,0.5055688312226647,0.6956822661548213,0.2162714752824639,0.4665268742594095,0.6102993455329562,0.7908982950708227,0.1331864271661032,0.5442061724796377,0.731285193095766,0.8363028542772627,0.0,0.5892281301683354,0.789040287381885
P(90%)_IPS(50%),0.3887919893977159,0.6889631087647011,0.5332964418634698,0.4689575960712765,0.33920268483711136,0.6378126741069969,0.4050191610850463,0.36729483352415976,0.3684162265781463,0.5999532903234367,0.23133886208891105,0.32315588876829904,0.4056939039850465,0.5892281301683354,0.0,0.329618928980721
P(90%)_IPS(75%),0.5447532134446961,0.8662372108943619,0.7402791382629252,0.6595229101855594,0.41228270689203167,0.8359037568347706,0.6359924939541048,0.5120402219915899,0.22642331132451304,0.8008443380927801,0.46127102716619645,0.27560697680194596,0.10711515296130698,0.789040287381885,0.329618928980721,7.450580596923828e-09
